verb         ,verb_form                    ,mood        ,person      ,Gender ,Number ,Mood ,Person ,Tense ,VerbForm ,Definite ,PronType
camines      ,presente                     ,Subjuntivo  ,tú          ,Masc   ,Plur   ,     ,       ,      ,         ,         ,
camine       ,presente                     ,Subjuntivo  ,él          ,       ,Sing   ,Sub  ,     3 ,Pres  ,Fin      ,         ,
caminemos    ,presente                     ,Subjuntivo  ,nosotros    ,       ,Plur   ,Sub  ,     1 ,Pres  ,Fin      ,         ,
caminéis     ,presente                     ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,         ,Def      ,Art
caminen      ,presente                     ,Subjuntivo  ,ellos       ,       ,Plur   ,Imp  ,     3 ,      ,Fin      ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto           ,Subjuntivo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminara     ,pretérito imperfecto 1       ,Subjuntivo  ,yo          ,       ,Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminaras    ,pretérito imperfecto 1       ,Subjuntivo  ,tú          ,Fem    ,Plur   ,     ,       ,      ,         ,         ,
caminara     ,pretérito imperfecto 1       ,Subjuntivo  ,él          ,       ,Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
camináramos  ,pretérito imperfecto 1       ,Subjuntivo  ,nosotros    ,       ,Plur   ,Cnd  ,     1 ,      ,Fin      ,         ,
caminarais   ,pretérito imperfecto 1       ,Subjuntivo  ,vosotros    ,Masc   ,Plur   ,     ,       ,      ,         ,         ,
caminaran    ,pretérito imperfecto 1       ,Subjuntivo  ,ellos       ,       ,Plur   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 1 ,Subjuntivo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
